,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
1,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
2,0.0,4.0,3.0,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,
3,0.0,5.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,
4,0.0,4.0,6.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,
5,0.0,3.0,3.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,
6,1.0,2.0,4.0,0.0,0.3333333333333333,1.0,0.7142857142857143,0.42857142857142855,0.5,0.47140452079103173,0.25
7,0.0,6.0,5.0,0.0,0.0,0.0,0.45454545454545453,0.5454545454545454,0.0,0.0,
8,0.0,2.0,4.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
9,0.0,3.0,2.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,
10,1.0,31.0,36.0,0.0,0.03333333333333333,0.1,0.5430735930735933,0.4712121212121212,0.05,0.047140452079103175,0.25
