,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,31.0,17.0,0.0,0.0,0.6458333333333334,0.0,0.0,0.0,0.4677127007416463
1,9.0,9.0,20.0,13.0,0.5,0.4090909090909091,0.5686274509803921,0.35294117647058826,0.45,0.10233801468906223,0.3753921703442293
2,0.0,1.0,30.0,21.0,0.0,0.0,0.5769230769230769,0.019230769230769232,0.0,-0.11525073729836977,0.39799539771985537
3,0.0,1.0,22.0,23.0,0.0,0.0,0.4782608695652174,0.021739130434782608,0.0,-0.14907119849998599,0.41841508485563084
4,0.0,0.0,34.0,22.0,0.0,0.0,0.6071428571428571,0.0,0.0,0.0,0.5908792111718449
5,0.0,1.0,23.0,19.0,0.0,0.0,0.5348837209302325,0.023255813953488372,0.0,-0.13729241184131902,0.3863517910999287
6,4.0,5.0,23.0,13.0,0.4444444444444444,0.23529411764705882,0.6,0.2,0.30769230769230765,0.06875238727711584,0.475912086132515
7,0.0,0.0,23.0,11.0,0.0,0.0,0.6764705882352942,0.0,0.0,0.0,0.4414906541126423
8,10.0,6.0,20.0,10.0,0.625,0.5,0.6521739130434783,0.34782608695652173,0.5555555555555556,0.2802242691589025,0.583137360807541
9,7.0,9.0,17.0,10.0,0.4375,0.4117647058823529,0.5581395348837209,0.37209302325581395,0.42424242424242425,0.06636590022938167,0.5381902194253293
10,30.0,32.0,243.0,159.0,0.20069444444444445,0.15561497326203208,0.5898455345037603,0.1337086000301964,0.17374902874902876,0.01160662237147875,0.4675476676411163
