,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,33.0,24.0,3.0,0.0,0.5789473684210527,1.0,0.6,0.95,0.7333333333333334,0.25362863675089403,0.7481501287383641
1,19.0,27.0,5.0,4.0,0.41304347826086957,0.8260869565217391,0.43636363636363634,0.8363636363636363,0.5507246376811594,-0.02355072463768116,0.5935397955427845
2,22.0,29.0,5.0,1.0,0.43137254901960786,0.9565217391304348,0.47368421052631576,0.8947368421052632,0.5945945945945946,0.16558497586885348,0.6716839446248034
3,21.0,22.0,4.0,5.0,0.4883720930232558,0.8076923076923077,0.4807692307692308,0.8269230769230769,0.608695652173913,-0.05083285677753489,0.6294967271692962
4,23.0,41.0,2.0,6.0,0.359375,0.7931034482758621,0.3472222222222222,0.8888888888888888,0.4946236559139785,-0.2503005410822729,0.5511458293285181
5,16.0,28.0,3.0,1.0,0.36363636363636365,0.9411764705882353,0.3958333333333333,0.9166666666666666,0.5245901639344263,0.06567020229960258,0.5168571032363329
6,14.0,25.0,5.0,5.0,0.358974358974359,0.7368421052631579,0.3877551020408163,0.7959183673469388,0.4827586206896552,-0.11665220654555926,0.5354535034426984
7,9.0,27.0,5.0,3.0,0.25,0.75,0.3181818181818182,0.8181818181818182,0.375,-0.10825317547305482,0.4437724422568853
8,19.0,31.0,4.0,1.0,0.38,0.95,0.41818181818181815,0.9090909090909091,0.5428571428571428,0.10757057484009543,0.5097126840327386
9,17.0,44.0,4.0,3.0,0.2786885245901639,0.85,0.3088235294117647,0.8970588235294118,0.41975308641975306,-0.0999609603732926,0.46883904455415043
10,193.0,298.0,40.0,29.0,0.39024097359256726,0.8611423027471737,0.4166814901030955,0.8733829029096609,0.5326930887597957,-0.005709607512995011,0.5668651202926571
