,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,8.0,2.0,1.0,0.0,0.0,0.18181818181818182,0.7272727272727273,0.0,-0.5163977794943222,0.05555555555555555
1,1.0,13.0,3.0,0.0,0.07142857142857142,1.0,0.23529411764705882,0.8235294117647058,0.13333333333333333,0.11572751247156893,0.55
2,0.0,7.0,4.0,0.0,0.0,0.0,0.36363636363636365,0.6363636363636364,0.0,0.0,
3,0.0,11.0,2.0,0.0,0.0,0.0,0.15384615384615385,0.8461538461538461,0.0,0.0,
4,0.0,17.0,7.0,0.0,0.0,0.0,0.2916666666666667,0.7083333333333334,0.0,0.0,
5,1.0,10.0,5.0,0.0,0.09090909090909091,1.0,0.375,0.6875,0.16666666666666669,0.17407765595569785,0.5555555555555556
6,0.0,8.0,2.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,
7,0.0,8.0,3.0,1.0,0.0,0.0,0.25,0.6666666666666666,0.0,-0.42640143271122083,0.05
8,1.0,8.0,4.0,0.0,0.1111111111111111,1.0,0.38461538461538464,0.6923076923076923,0.19999999999999998,0.19245008972987526,0.5714285714285714
9,0.0,9.0,2.0,0.0,0.0,0.0,0.18181818181818182,0.8181818181818182,0.0,0.0,
10,3.0,99.0,34.0,2.0,0.027344877344877346,0.3,0.2617695050047991,0.7406309132044426,0.05,-0.04605439540484009,0.35650793650793655
