,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,9.0,2.0,0.0,0.0,0.0,0.18181818181818182,0.8181818181818182,0.0,0.0,
1,1.0,10.0,1.0,1.0,0.09090909090909091,0.5,0.15384615384615385,0.8461538461538461,0.15384615384615385,-0.4090909090909091,0.10096153846153846
2,0.0,10.0,1.0,0.0,0.0,0.0,0.09090909090909091,0.9090909090909091,0.0,0.0,
3,0.0,8.0,1.0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,
4,1.0,6.0,1.0,0.0,0.14285714285714285,1.0,0.25,0.875,0.25,0.14285714285714285,0.07142857142857142
5,0.0,7.0,2.0,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,
6,1.0,9.0,0.0,0.0,0.1,1.0,0.1,1.0,0.18181818181818182,0.0,0.125
7,0.0,9.0,3.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,
8,0.0,9.0,2.0,0.0,0.0,0.0,0.18181818181818182,0.8181818181818182,0.0,0.0,
9,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
10,3.0,88.0,13.0,1.0,0.03337662337662338,0.25,0.15417249417249418,0.8683275058275057,0.05856643356643356,-0.026623376623376625,0.09913003663003662
