,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,21.0,16.0,0.0,0.0,0.0,0.43243243243243246,0.5675675675675675,0.0,0.0,
1,0.0,20.0,16.0,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,
2,0.0,18.0,23.0,0.0,0.0,0.0,0.5609756097560976,0.43902439024390244,0.0,0.0,
3,0.0,16.0,19.0,0.0,0.0,0.0,0.5428571428571428,0.45714285714285713,0.0,0.0,
4,1.0,24.0,12.0,0.0,0.04,1.0,0.35135135135135137,0.6756756756756757,0.07692307692307693,0.11547005383792515,0.52
5,0.0,19.0,17.0,0.0,0.0,0.0,0.4722222222222222,0.5277777777777778,0.0,0.0,
6,0.0,8.0,14.0,0.0,0.0,0.0,0.6363636363636364,0.36363636363636365,0.0,0.0,
7,0.0,14.0,15.0,0.0,0.0,0.0,0.5172413793103449,0.4827586206896552,0.0,0.0,
8,0.0,16.0,17.0,0.0,0.0,0.0,0.5151515151515151,0.48484848484848486,0.0,0.0,
9,0.0,25.0,12.0,0.0,0.0,0.0,0.32432432432432434,0.6756756756756757,0.0,0.0,
10,1.0,181.0,161.0,0.0,0.004,0.1,0.47973640582135124,0.5229662968813514,0.007692307692307693,0.011547005383792514,0.52
