,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.25,0.0,-1.0,0.531547619047619
1,0.0,2.0,1.0,7.0,0.0,0.0,0.1,0.2,0.0,-0.7637626158259734,0.5504535147392291
2,6.0,1.0,0.0,4.0,0.8571428571428571,0.6,0.5454545454545454,0.6363636363636364,0.7058823529411764,-0.23904572186687872,0.8692243867243867
3,5.0,0.0,0.0,2.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8333333333333333,0.0,1.0
4,1.0,0.0,0.0,8.0,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.19999999999999998,0.0,1.0
5,1.0,0.0,0.0,6.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.25,0.0,1.0
6,1.0,2.0,1.0,7.0,0.3333333333333333,0.125,0.18181818181818182,0.2727272727272727,0.18181818181818182,-0.5416666666666666,0.5885912698412699
7,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0.0,1.0,1.0,14.0,0.0,0.0,0.0625,0.0625,0.0,-0.6831300510639733,0.6736296441653584
9,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.09090909090909091,0.0,-1.0,0.7108910533910534
10,14.0,9.0,3.0,70.0,0.41904761904761906,0.16932539682539682,0.18580266955266958,0.2480753968253968,0.21710338680926916,-0.42276050554234923,0.7924337487908917
