,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
1,0.0,1.0,6.0,1.0,0.0,0.0,0.75,0.125,0.0,-0.14285714285714285,0.0625
2,0.0,2.0,1.0,1.0,0.0,0.0,0.25,0.5,0.0,-0.5773502691896258,0.125
3,0.0,2.0,3.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,
4,2.0,1.0,2.0,2.0,0.6666666666666666,0.5,0.5714285714285714,0.42857142857142855,0.5714285714285715,0.16666666666666666,0.7261904761904762
5,0.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
6,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
7,0.0,2.0,6.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
8,0.0,2.0,4.0,1.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,-0.2581988897471611,0.07142857142857142
9,1.0,2.0,3.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.5,0.4472135954999579,0.6666666666666666
10,3.0,13.0,35.0,6.0,0.1,0.15,0.6576190476190477,0.2739285714285714,0.10714285714285716,-0.03645260396273053,0.3864087301587302
