,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,2.0,0.0,4.0,1.0,1.0,0.6666666666666666,0.8571428571428571,0.2857142857142857,0.8,0.7302967433402214,0.9047619047619048
1,1.0,1.0,4.0,3.0,0.5,0.25,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.05976143046671968,0.5416666666666666
2,0.0,3.0,3.0,3.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.5,0.16666666666666666
3,0.0,1.0,3.0,5.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,-0.3952847075210474,0.2777777777777778
4,4.0,1.0,2.0,5.0,0.8,0.4444444444444444,0.5,0.4166666666666667,0.5714285714285714,0.09759000729485331,0.8083333333333333
5,1.0,1.0,5.0,5.0,0.5,0.16666666666666666,0.5,0.16666666666666666,0.25,0.0,0.5416666666666667
6,1.0,0.0,5.0,4.0,1.0,0.2,0.6,0.1,0.33333333333333337,0.3333333333333333,0.8
7,1.0,1.0,6.0,5.0,0.5,0.16666666666666666,0.5384615384615384,0.15384615384615385,0.25,0.03289758474798845,0.5256410256410257
8,0.0,0.0,8.0,2.0,0.0,0.0,0.8,0.0,0.0,0.0,0.6
9,2.0,1.0,1.0,3.0,0.6666666666666666,0.4,0.42857142857142855,0.42857142857142855,0.5,-0.09128709291752768,0.7476190476190476
10,12.0,9.0,41.0,36.0,0.4966666666666667,0.22944444444444442,0.5446398046398045,0.2218131868131868,0.3038095238095238,0.026730729874454108,0.5914133089133089
