,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1.0,3.0,3.0,0.0,0.25,1.0,0.5714285714285714,0.5714285714285714,0.4,0.3535533905932738,1.0
2,0.0,3.0,2.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,
3,0.0,1.0,2.0,2.0,0.0,0.0,0.4,0.2,0.0,-0.4082482904638631,0.29166666666666663
4,2.0,1.0,0.0,2.0,0.6666666666666666,0.5,0.4,0.6,0.5714285714285715,-0.4082482904638631,0.5375
5,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,
6,1.0,0.0,5.0,2.0,1.0,0.3333333333333333,0.75,0.125,0.5,0.4879500364742666,0.75
7,0.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,
8,0.0,0.0,3.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.16666666666666666
9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,4.0,10.0,20.0,13.0,0.19166666666666665,0.18333333333333332,0.46880952380952384,0.2679761904761905,0.14714285714285716,0.0025006846139814243,0.6779761904761905
