,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,3.0,1.0,2.0,0.25,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.28571428571428575,-0.4166666666666667,0.30952380952380953
1,0.0,0.0,4.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0
2,0.0,0.0,2.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5416666666666666
3,3.0,1.0,6.0,1.0,0.75,0.75,0.8181818181818182,0.36363636363636365,0.75,0.6071428571428571,0.4829545454545454
4,3.0,0.0,3.0,2.0,1.0,0.6,0.75,0.375,0.7499999999999999,0.6,0.8767857142857143
5,0.0,0.0,6.0,2.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0
6,1.0,0.0,5.0,0.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0
7,0.0,0.0,2.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.875
8,3.0,2.0,5.0,0.0,0.6,1.0,0.8,0.5,0.7499999999999999,0.6546536707079772,0.3666666666666667
9,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0
10,12.0,6.0,38.0,12.0,0.45999999999999996,0.4683333333333334,0.7203896103896104,0.21767316017316016,0.45357142857142857,0.34451298611841674,0.7452597402597402
