,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,11.0,41.0,2.0,0.0,0.21153846153846154,1.0,0.24074074074074073,0.9629629629629629,0.34920634920634924,0.09919172450911032,0.6057692307692307
1,10.0,22.0,0.0,0.0,0.3125,1.0,0.3125,1.0,0.47619047619047616,0.0,0.65625
2,18.0,19.0,0.0,0.0,0.4864864864864865,1.0,0.4864864864864865,1.0,0.6545454545454547,0.0,0.7432432432432432
3,11.0,26.0,1.0,0.0,0.2972972972972973,1.0,0.3157894736842105,0.9736842105263158,0.4583333333333333,0.10493336462255945,0.6486486486486487
4,16.0,30.0,2.0,0.0,0.34782608695652173,1.0,0.375,0.9583333333333334,0.5161290322580645,0.14744195615489714,0.6739130434782609
5,14.0,25.0,0.0,0.0,0.358974358974359,1.0,0.358974358974359,1.0,0.5283018867924528,0.0,0.6481588586851745
6,19.0,31.0,0.0,0.0,0.38,1.0,0.38,1.0,0.5507246376811594,0.0,0.69
7,12.0,25.0,0.0,1.0,0.32432432432432434,0.9230769230769231,0.3157894736842105,0.9736842105263158,0.48,-0.22798037629377663,0.6628460444249917
8,16.0,32.0,2.0,1.0,0.3333333333333333,0.9411764705882353,0.35294117647058826,0.9411764705882353,0.49230769230769234,0.0,0.17627050820328133
9,12.0,26.0,1.0,0.0,0.3157894736842105,1.0,0.3333333333333333,0.9743589743589743,0.4799999999999999,0.10814761408717502,0.6201398767188241
10,139.0,277.0,8.0,2.0,0.33680698225949945,0.9864253393665159,0.3471555043373929,0.9784200162296137,0.4985738862314982,0.02317342830799653,0.6125239454171655
