,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,8.0,60.0,2.0,1.0,0.11764705882352941,0.8888888888888888,0.14084507042253522,0.9577464788732394,0.20779220779220778,-0.13041288223875608,0.16546612812147196
1,18.0,53.0,2.0,1.0,0.2535211267605634,0.9473684210526315,0.2702702702702703,0.9594594594594594,0.4,-0.03603304586080372,0.5119027861620261
2,9.0,56.0,3.0,0.0,0.13846153846153847,1.0,0.17647058823529413,0.9558823529411765,0.24324324324324326,0.08390719402952727,0.6092333491240596
3,7.0,57.0,6.0,1.0,0.109375,0.875,0.18309859154929578,0.9014084507042254,0.19444444444444445,-0.03156726701725659,0.3360069174861974
4,11.0,71.0,3.0,0.0,0.13414634146341464,1.0,0.16470588235294117,0.9647058823529412,0.23655913978494622,0.07374527235330246,0.11216870053957229
5,6.0,63.0,1.0,0.0,0.08695652173913043,1.0,0.1,0.9857142857142858,0.16,0.036860489038724284,0.38072012528534266
6,4.0,67.0,2.0,0.0,0.056338028169014086,1.0,0.0821917808219178,0.9726027397260274,0.10666666666666667,0.04041022548488858,0.029211087420042643
7,6.0,55.0,1.0,0.0,0.09836065573770492,1.0,0.11290322580645161,0.9838709677419355,0.1791044776119403,0.04190990671703344,0.4726194635785831
8,8.0,85.0,2.0,0.0,0.08602150537634409,1.0,0.10526315789473684,0.9789473684210527,0.15841584158415845,0.044469156397671336,0.18184974747474747
9,8.0,46.0,1.0,2.0,0.14814814814814814,0.8,0.15789473684210525,0.9473684210526315,0.25,-0.3044197674249397,0.3131037428678938
10,85.0,613.0,23.0,5.0,0.12289759246793877,0.951125730994152,0.14936433041955482,0.9607706406986976,0.21362260211276068,-0.018113071852060868,0.3112282048059937
