,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,9.0,3.0,1.0,0.1,0.5,0.2857142857142857,0.7142857142857143,0.16666666666666669,-0.19364916731037085,0.34545454545454546
1,2.0,6.0,11.0,0.0,0.25,1.0,0.6842105263157895,0.42105263157894735,0.4,0.40219983326992187,0.625
2,0.0,12.0,3.0,2.0,0.0,0.0,0.17647058823529413,0.7058823529411765,0.0,-0.565685424949238,0.07179487179487179
3,0.0,7.0,1.0,2.0,0.0,0.0,0.1,0.7,0.0,-0.7637626158259734,0.10555555555555556
4,0.0,4.0,7.0,1.0,0.0,0.0,0.5833333333333334,0.3333333333333333,0.0,-0.21320071635561041,0.05
5,0.0,10.0,3.0,0.0,0.0,0.0,0.23076923076923078,0.7692307692307693,0.0,0.0,0.5
6,0.0,10.0,4.0,1.0,0.0,0.0,0.26666666666666666,0.6666666666666666,0.0,-0.37796447300922725,0.03333333333333333
7,2.0,9.0,8.0,1.0,0.18181818181818182,0.6666666666666666,0.5,0.55,0.28571428571428575,0.09851341054817479,0.10921717171717171
8,2.0,8.0,5.0,0.0,0.2,1.0,0.4666666666666667,0.6666666666666666,0.33333333333333337,0.2773500981126146,0.6
9,2.0,12.0,4.0,0.0,0.14285714285714285,1.0,0.3333333333333333,0.7777777777777778,0.25,0.1889822365046136,0.5714285714285714
10,9.0,87.0,49.0,8.0,0.08746753246753244,0.41666666666666663,0.36271646310346006,0.6304895912481052,0.1435714285714286,-0.11472168190150948,0.3011784049284049
