,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,11.0,41.0,2.0,0.0,0.21153846153846154,1.0,0.24074074074074073,0.9629629629629629,0.34920634920634924,0.09919172450911032,0.6057692307692307
1,10.0,22.0,0.0,0.0,0.3125,1.0,0.3125,1.0,0.47619047619047616,0.0,0.65625
2,18.0,19.0,0.0,0.0,0.4864864864864865,1.0,0.4864864864864865,1.0,0.6545454545454547,0.0,0.7432432432432432
3,11.0,27.0,0.0,0.0,0.2894736842105263,1.0,0.2894736842105263,1.0,0.4489795918367347,0.0,0.14473684210526316
4,16.0,31.0,1.0,0.0,0.3404255319148936,1.0,0.3541666666666667,0.9791666666666666,0.5079365079365079,0.10314212462587934,0.1702127659574468
5,14.0,25.0,0.0,0.0,0.358974358974359,1.0,0.358974358974359,1.0,0.5283018867924528,0.0,0.7023809523809524
6,19.0,31.0,0.0,0.0,0.38,1.0,0.38,1.0,0.5507246376811594,0.0,0.69
7,12.0,25.0,0.0,1.0,0.32432432432432434,0.9230769230769231,0.3157894736842105,0.9736842105263158,0.48,-0.22798037629377663,0.6628460444249917
8,16.0,32.0,2.0,1.0,0.3333333333333333,0.9411764705882353,0.35294117647058826,0.9411764705882353,0.49230769230769234,0.0,0.17627050820328133
9,12.0,26.0,1.0,0.0,0.3157894736842105,1.0,0.3333333333333333,0.9743589743589743,0.4799999999999999,0.10814761408717502,0.6864035087719299
10,139.0,279.0,6.0,2.0,0.3352845654466595,0.9864253393665159,0.34244059205669114,0.9831349285103155,0.49681925964968265,0.008250108692838804,0.5238113095856338
