,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,3.0,45.0,8.0,0.25,0.1111111111111111,0.8070175438596491,0.07017543859649122,0.15384615384615383,0.06939201375033761,0.29239766081871343
1,4.0,8.0,63.0,3.0,0.3333333333333333,0.5714285714285714,0.8589743589743589,0.15384615384615385,0.4210526315789474,0.3634076471135561,0.21105977355977357
2,6.0,6.0,60.0,5.0,0.5,0.5454545454545454,0.8571428571428571,0.15584415584415584,0.5217391304347826,0.4385290096535146,0.4697609208972845
3,2.0,4.0,46.0,6.0,0.3333333333333333,0.25,0.8275862068965517,0.10344827586206896,0.28571428571428575,0.1924870958045813,0.2942836617405583
4,3.0,8.0,57.0,4.0,0.2727272727272727,0.42857142857142855,0.8333333333333334,0.1527777777777778,0.33333333333333326,0.2515636236161335,0.3378427128427128
5,5.0,7.0,55.0,5.0,0.4166666666666667,0.5,0.8333333333333334,0.16666666666666666,0.45454545454545453,0.3592106040535498,0.3013888888888889
6,9.0,12.0,65.0,5.0,0.42857142857142855,0.6428571428571429,0.8131868131868132,0.23076923076923078,0.5142857142857143,0.41705300580081583,0.43880456028565273
7,1.0,5.0,67.0,6.0,0.16666666666666666,0.14285714285714285,0.8607594936708861,0.0759493670886076,0.15384615384615383,0.07874978932014787,0.12726039783001808
8,4.0,10.0,61.0,4.0,0.2857142857142857,0.5,0.8227848101265823,0.17721518987341772,0.36363636363636365,0.2837496296822927,0.36936407474382155
9,4.0,17.0,37.0,5.0,0.19047619047619047,0.4444444444444444,0.6507936507936508,0.3333333333333333,0.26666666666666666,0.09622504486493763,0.22738069377854325
10,39.0,80.0,556.0,51.0,0.3177489177489178,0.4136724386724387,0.8164912401318016,0.16200255896579036,0.34686658878878557,0.25503674636598667,0.30695433453859666
