,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,2.0,1.0,38.0,10.0,0.6666666666666666,0.16666666666666666,0.7843137254901961,0.058823529411764705,0.26666666666666666,0.25423758993656337,0.4452614379084967
1,2.0,2.0,48.0,13.0,0.5,0.13333333333333333,0.7692307692307693,0.06153846153846154,0.2105263157894737,0.16363360377426456,0.31777777777777777
2,2.0,0.0,29.0,14.0,1.0,0.125,0.6888888888888889,0.044444444444444446,0.2222222222222222,0.29034862765543656,0.5757575757575757
3,1.0,0.0,44.0,12.0,1.0,0.07692307692307693,0.7894736842105263,0.017543859649122806,0.14285714285714288,0.2458445859472208,0.5195681511470984
4,1.0,1.0,45.0,13.0,0.5,0.07142857142857142,0.7666666666666667,0.03333333333333333,0.125,0.11707874272593882,0.4119047619047619
5,2.0,0.0,57.0,12.0,1.0,0.14285714285714285,0.8309859154929577,0.028169014084507043,0.25,0.34352936171490267,0.6846076458752515
6,3.0,0.0,40.0,21.0,1.0,0.125,0.671875,0.046875,0.2222222222222222,0.2862991671569341,0.7265625
7,2.0,1.0,40.0,11.0,0.6666666666666666,0.15384615384615385,0.7777777777777778,0.05555555555555555,0.25,0.24162383374460397,0.3762820512820513
8,0.0,1.0,46.0,10.0,0.0,0.0,0.8070175438596491,0.017543859649122806,0.0,-0.06163920909019224,0.13267543859649122
9,2.0,0.0,45.0,14.0,1.0,0.125,0.7704918032786885,0.03278688524590164,0.2222222222222222,0.30877011359723183,0.6772540983606558
10,17.0,6.0,432.0,130.0,0.7333333333333333,0.1120054945054945,0.765672177489612,0.03966139429122138,0.191171679197995,0.21897264171629044,0.4867651438610161
