,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,4.0,66.0,3.0,0.2,0.25,0.9054054054054054,0.06756756756756757,0.22222222222222224,0.17374215206370247,0.14406906906906908
1,0.0,2.0,55.0,2.0,0.0,0.0,0.9322033898305084,0.03389830508474576,0.0,-0.03508771929824561,0.01694915254237288
2,1.0,7.0,65.0,4.0,0.125,0.2,0.8571428571428571,0.1038961038961039,0.15384615384615385,0.08300054323396719,0.1352380952380952
3,0.0,5.0,71.0,2.0,0.0,0.0,0.9102564102564102,0.0641025641025641,0.0,-0.04245528628821136,0.01282051282051282
4,1.0,2.0,56.0,2.0,0.3333333333333333,0.3333333333333333,0.9344262295081968,0.04918032786885246,0.3333333333333333,0.2988505747126437,0.31401249024199845
5,0.0,9.0,79.0,1.0,0.0,0.0,0.8876404494382022,0.10112359550561797,0.0,-0.03575484709670971,0.0056179775280898875
6,0.0,5.0,64.0,5.0,0.0,0.0,0.8648648648648649,0.06756756756756757,0.0,-0.07246376811594203,0.07339066339066339
7,0.0,5.0,56.0,4.0,0.0,0.0,0.8615384615384616,0.07692307692307693,0.0,-0.07392212709545729,0.06682692307692308
8,1.0,5.0,70.0,3.0,0.16666666666666666,0.25,0.8987341772151899,0.0759493670886076,0.2,0.15172774624376745,0.10923942442929785
9,2.0,6.0,60.0,2.0,0.25,0.5,0.8857142857142857,0.11428571428571428,0.3333333333333333,0.2984564395926328,0.1531051894441987
10,6.0,50.0,642.0,28.0,0.1075,0.15333333333333332,0.8937926530914382,0.07544941898904181,0.12427350427350425,0.07460937079521476,0.10312694977812216
