,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,10.0,49.0,170.0,14.0,0.1694915254237288,0.4166666666666667,0.7407407407407407,0.24279835390946503,0.24096385542168672,0.134237964879947,0.15436921801736428
1,9.0,47.0,178.0,18.0,0.16071428571428573,0.3333333333333333,0.7420634920634921,0.2222222222222222,0.21686746987951808,0.09258200997725514,0.18807211731226492
2,12.0,52.0,173.0,12.0,0.1875,0.5,0.7429718875502008,0.2570281124497992,0.2727272727272727,0.18159081811926842,0.1474714889081966
3,18.0,35.0,150.0,9.0,0.33962264150943394,0.6666666666666666,0.7924528301886793,0.25,0.44999999999999996,0.36760731104690386,0.2839728198322304
4,15.0,38.0,193.0,14.0,0.2830188679245283,0.5172413793103449,0.8,0.20384615384615384,0.36585365853658536,0.2756358009369539,0.21990649785824234
5,12.0,39.0,151.0,14.0,0.23529411764705882,0.46153846153846156,0.7546296296296297,0.2361111111111111,0.31168831168831174,0.19635554544582348,0.18479990516901124
6,10.0,42.0,158.0,10.0,0.19230769230769232,0.5,0.7636363636363637,0.23636363636363636,0.2777777777777778,0.19623283621077794,0.14843967219064635
7,15.0,46.0,150.0,13.0,0.2459016393442623,0.5357142857142857,0.7366071428571429,0.27232142857142855,0.3370786516853933,0.22363731627163153,0.18852829858866074
8,8.0,46.0,173.0,13.0,0.14814814814814814,0.38095238095238093,0.7541666666666667,0.225,0.21333333333333335,0.11564783029048709,0.1360390222011186
9,11.0,47.0,180.0,18.0,0.1896551724137931,0.3793103448275862,0.74609375,0.2265625,0.25287356321839083,0.13042310493942572,0.16771810514185087
10,120.0,441.0,1676.0,135.0,0.21516540904329312,0.46914235190097253,0.7573362503332917,0.23722535184738164,0.29391638942682696,0.19139505381184743,0.1819317145219586
