,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,13.0,38.0,181.0,11.0,0.2549019607843137,0.5416666666666666,0.7983539094650206,0.20987654320987653,0.3466666666666666,0.26972275604577434,0.27269020420117673
1,8.0,49.0,176.0,19.0,0.14035087719298245,0.2962962962962963,0.7301587301587301,0.2261904761904762,0.19047619047619047,0.05804843350839477,0.13065729516555674
2,12.0,43.0,182.0,12.0,0.21818181818181817,0.5,0.7791164658634538,0.22088353413654618,0.3037974683544304,0.2197439650691627,0.24735258052083678
3,18.0,34.0,151.0,9.0,0.34615384615384615,0.6666666666666666,0.7971698113207547,0.24528301886792453,0.45569620253164556,0.3741518475025949,0.30156461196296075
4,28.0,212.0,19.0,1.0,0.11666666666666667,0.9655172413793104,0.18076923076923077,0.9230769230769231,0.20817843866171007,0.056431860758731314,0.3419207455994828
5,13.0,34.0,156.0,13.0,0.2765957446808511,0.5,0.7824074074074074,0.2175925925925926,0.3561643835616438,0.25319051214060573,0.3355396368155333
6,10.0,40.0,160.0,10.0,0.2,0.5,0.7727272727272727,0.22727272727272727,0.28571428571428575,0.2057983021710106,0.1323786236501583
7,20.0,37.0,159.0,8.0,0.3508771929824561,0.7142857142857143,0.7991071428571429,0.2544642857142857,0.4705882352941177,0.3990180494400076,0.48121555140950584
8,13.0,38.0,181.0,8.0,0.2549019607843137,0.6190476190476191,0.8083333333333333,0.2125,0.3611111111111111,0.3077473085824599,0.37397767750787436
9,16.0,44.0,183.0,13.0,0.26666666666666666,0.5517241379310345,0.77734375,0.234375,0.35955056179775285,0.26776863068391865,0.31141317258517565
10,151.0,569.0,1548.0,104.0,0.24252967340939144,0.5855204342273308,0.7225487053902346,0.29715151010613516,0.33379435441695543,0.24116216659026607,0.2928710099418261
