,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,40.0,15.0,0.0,0.0,0.0,0.2727272727272727,0.7272727272727273,0.0,0.0,0.5
1,0.0,37.0,13.0,0.0,0.0,0.0,0.26,0.74,0.0,0.0,0.5
2,0.0,43.0,3.0,0.0,0.0,0.0,0.06521739130434782,0.9347826086956522,0.0,0.0,0.5
3,0.0,39.0,10.0,0.0,0.0,0.0,0.20408163265306123,0.7959183673469388,0.0,0.0,0.5
4,0.0,50.0,9.0,0.0,0.0,0.0,0.15254237288135594,0.847457627118644,0.0,0.0,0.5
5,0.0,43.0,22.0,0.0,0.0,0.0,0.3384615384615385,0.6615384615384615,0.0,0.0,0.5
6,0.0,42.0,13.0,0.0,0.0,0.0,0.23636363636363636,0.7636363636363637,0.0,0.0,0.5
7,0.0,55.0,22.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.5
8,0.0,37.0,11.0,0.0,0.0,0.0,0.22916666666666666,0.7708333333333334,0.0,0.0,0.5
9,0.0,40.0,16.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.5
10,0.0,426.0,134.0,0.0,0.0,0.0,0.23299890824864505,0.7670010917513549,0.0,0.0,0.5
