,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,2.0,6.0,32.0,3.0,0.25,0.4,0.7906976744186046,0.18604651162790697,0.3076923076923077,0.1994352929905476,0.3286820311648687
1,3.0,6.0,32.0,2.0,0.3333333333333333,0.6,0.813953488372093,0.20930232558139536,0.42857142857142855,0.34837082125540764,0.23146388699020276
2,2.0,7.0,31.0,3.0,0.2222222222222222,0.4,0.7674418604651163,0.20930232558139536,0.2857142857142857,0.17003813894609182,0.29124392231809115
3,3.0,7.0,30.0,3.0,0.3,0.5,0.7674418604651163,0.23255813953488372,0.37499999999999994,0.2549268816498468,0.27575825945391164
4,1.0,5.0,32.0,5.0,0.16666666666666666,0.16666666666666666,0.7674418604651163,0.13953488372093023,0.16666666666666666,0.03153153153153153,0.18341394286161727
5,3.0,13.0,24.0,3.0,0.1875,0.5,0.627906976744186,0.37209302325581395,0.2727272727272727,0.10656033551516766,0.29214183112209424
6,0.0,7.0,30.0,5.0,0.0,0.0,0.7142857142857143,0.16666666666666666,0.0,-0.1643989873053573,0.07678571428571428
7,3.0,9.0,28.0,2.0,0.25,0.6,0.7380952380952381,0.2857142857142857,0.35294117647058826,0.2557448052364024,0.5750227441403912
8,1.0,7.0,30.0,4.0,0.125,0.2,0.7380952380952381,0.19047619047619047,0.15384615384615385,0.00891578689526865,0.15419353865948293
9,4.0,10.0,27.0,1.0,0.2857142857142857,0.8,0.7380952380952381,0.3333333333333333,0.4210526315789473,0.36391267143702544,0.5190683147262094
10,22.0,77.0,296.0,31.0,0.21204365079365078,0.4166666666666667,0.7463455149501661,0.23250276854928015,0.27642119232676504,0.15750372781519323,0.29277741857225836
