,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,13.0,2.0,2.0,0.0,0.0,0.11764705882352941,0.7647058823529411,0.0,-0.6582805886043833,0.06666666666666667
1,2.0,11.0,4.0,0.0,0.15384615384615385,1.0,0.35294117647058826,0.7647058823529411,0.2666666666666667,0.20254787341673333,0.07692307692307693
2,2.0,14.0,1.0,0.0,0.125,1.0,0.17647058823529413,0.9411764705882353,0.2222222222222222,0.09128709291752768,0.40625
3,2.0,13.0,2.0,0.0,0.13333333333333333,1.0,0.23529411764705882,0.8823529411764706,0.23529411764705882,0.13333333333333333,0.07142857142857142
4,2.0,12.0,3.0,0.0,0.14285714285714285,1.0,0.29411764705882354,0.8235294117647058,0.25,0.1690308509457033,0.3412698412698413
5,2.0,12.0,3.0,0.0,0.14285714285714285,1.0,0.29411764705882354,0.8235294117647058,0.25,0.1690308509457033,0.07142857142857142
6,1.0,13.0,2.0,1.0,0.07142857142857142,0.5,0.17647058823529413,0.8235294117647058,0.125,-0.3098898934004561,0.38244047619047616
7,2.0,12.0,3.0,0.0,0.14285714285714285,1.0,0.29411764705882354,0.8235294117647058,0.25,0.1690308509457033,0.08333333333333333
8,1.0,12.0,2.0,1.0,0.07692307692307693,0.5,0.1875,0.8125,0.13333333333333336,-0.30261376633440124,0.08035714285714285
9,2.0,13.0,1.0,0.0,0.13333333333333333,1.0,0.1875,0.9375,0.23529411764705882,0.09759000729485333,0.6428571428571428
10,16.0,125.0,23.0,4.0,0.11224358974358975,0.8,0.23161764705882354,0.8397058823529411,0.196781045751634,-0.023893338853968306,0.22229548229548227
