,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,5.0,4.0,4.0,2.0,0.5555555555555556,0.7142857142857143,0.6,0.6,0.6250000000000001,0.21821789023599236,0.7015873015873015
1,2.0,5.0,3.0,5.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.4666666666666667,0.2857142857142857,-0.3392857142857143,0.4523809523809524
2,3.0,2.0,6.0,4.0,0.6,0.42857142857142855,0.6,0.3333333333333333,0.5,0.18898223650461363,0.6476190476190475
3,4.0,5.0,3.0,3.0,0.4444444444444444,0.5714285714285714,0.4666666666666667,0.6,0.5,-0.05455447255899809,0.5484126984126985
4,4.0,2.0,6.0,3.0,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.4,0.6153846153846153,0.32732683535398854,0.6238095238095238
5,4.0,7.0,1.0,3.0,0.36363636363636365,0.5714285714285714,0.3333333333333333,0.7333333333333333,0.4444444444444444,-0.3424747597107866,0.5675324675324676
6,4.0,3.0,5.0,3.0,0.5714285714285714,0.5714285714285714,0.6,0.4666666666666667,0.5714285714285714,0.19642857142857142,0.6714285714285714
7,4.0,1.0,7.0,3.0,0.8,0.5714285714285714,0.7333333333333333,0.3333333333333333,0.6666666666666666,0.472455591261534,0.7857142857142857
8,3.0,4.0,4.0,3.0,0.42857142857142855,0.5,0.5,0.5,0.4615384615384615,0.0,0.5714285714285714
9,2.0,5.0,2.0,5.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5,0.2857142857142857,-0.42857142857142855,0.46428571428571425
10,35.0,38.0,41.0,34.0,0.5001731601731602,0.5071428571428571,0.5119047619047619,0.49333333333333335,0.49558913308913305,0.02385247496577724,0.6034199134199134
