,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,35.0,19.0,6.0,13.0,0.6481481481481481,0.7291666666666666,0.5616438356164384,0.7397260273972602,0.6862745098039215,-0.03334551434354563,0.6294036782298311
1,39.0,18.0,7.0,9.0,0.6842105263157895,0.8125,0.6301369863013698,0.7808219178082192,0.742857142857143,0.10610477691513481,0.6262959124414984
2,39.0,20.0,5.0,9.0,0.6610169491525424,0.8125,0.6027397260273972,0.8082191780821918,0.7289719626168225,0.015066438819193272,0.7667553617501229
3,42.0,18.0,7.0,6.0,0.7,0.875,0.6712328767123288,0.821917808219178,0.7777777777777777,0.1922538386132731,0.7649118758011614
4,34.0,22.0,3.0,14.0,0.6071428571428571,0.7083333333333334,0.5068493150684932,0.7671232876712328,0.6538461538461539,-0.19273390605551835,0.732207167733427
5,37.0,19.0,6.0,11.0,0.6607142857142857,0.7708333333333334,0.589041095890411,0.7671232876712328,0.7115384615384616,0.012162819314183197,0.6615849716239397
6,38.0,20.0,4.0,10.0,0.6551724137931034,0.7916666666666666,0.5833333333333334,0.8055555555555556,0.7169811320754716,-0.049629166698546515,0.76032319172727
7,29.0,19.0,6.0,18.0,0.6041666666666666,0.6170212765957447,0.4861111111111111,0.6666666666666666,0.6105263157894737,-0.1443989744762311,0.6596777415362316
8,35.0,15.0,10.0,12.0,0.7,0.7446808510638298,0.625,0.6944444444444444,0.7216494845360825,0.14953182902540443,0.6577733869724526
9,33.0,15.0,10.0,14.0,0.6875,0.7021276595744681,0.5972222222222222,0.6666666666666666,0.6947368421052632,0.10314212462587935,0.6950004161591462
10,361.0,185.0,64.0,116.0,0.6608071846933392,0.7563829787234042,0.5853310502283106,0.7518264840182648,0.7045159782946572,0.015815426573922656,0.6953933703975081
