,idProject,nameProject,productionClass,testCase,isEagerTest,isEagerTestManual,prediction
0,47.0,rxjava2-extras,Actions,com.github.davidmoten.rx2.actionstest.testisutility,True,False,True
3,47.0,rxjava2-extras,FlowableOnBackpressureBufferToFile,com.github.davidmoten.rx2.buffertofile.flowableonbackpressurebuffertofiletest.testbytearrays,False,False,False
11,47.0,rxjava2-extras,FlowableOnBackpressureBufferToFile,com.github.davidmoten.rx2.buffertofile.flowableonbackpressurebuffertofiletest.testverymanybytearraysobservablesource,False,True,False
23,47.0,rxjava2-extras,Page,com.github.davidmoten.rx2.internal.flowable.buffertofile.pagetest.testpagesize,False,False,True
33,47.0,rxjava2-extras,FlowableDoOnEmpty,com.github.davidmoten.rx2.internal.flowable.flowabledoonemptytest.subscriberstatetest,True,False,True
46,47.0,rxjava2-extras,FlowableMaxRequest,com.github.davidmoten.rx2.internal.flowable.flowablemaxrequesttest.checkmaxrequestonedownstreamrequestmaxvalue,False,False,True
51,47.0,rxjava2-extras,FlowableMinRequest,com.github.davidmoten.rx2.internal.flowable.flowableminrequesttest.testminwhenrequestismaxvalue,False,False,True
74,47.0,rxjava2-extras,FlowableWindowMinMax,com.github.davidmoten.rx2.internal.flowable.flowablewindowminmaxtest.testdecreasing,False,False,True
77,47.0,rxjava2-extras,TransformerDecode,com.github.davidmoten.rx2.internal.flowable.transformerdecodetest.testisutilclass,True,False,False
2,47.0,rxjava2-extras,BiFunctions,com.github.davidmoten.rx2.bifunctionstest.testconstant,False,False,False
19,47.0,rxjava2-extras,Transformers,com.github.davidmoten.rx2.flowable.transformerstest.teststatisticsonmultipleelements,False,False,False
22,47.0,rxjava2-extras,Page,com.github.davidmoten.rx2.internal.flowable.buffertofile.pagetest.testpageprintln,False,False,False
43,47.0,rxjava2-extras,FlowableMatch,com.github.davidmoten.rx2.internal.flowable.flowablematchtest.testonedoesnotcompleteandothermatchedallshouldfinishswitched2,False,False,False
49,47.0,rxjava2-extras,FlowableMaxRequest,com.github.davidmoten.rx2.internal.flowable.flowablemaxrequesttest.checksinglemaxrequestmaxvaluedownstreamrequestsmaxvalue,False,False,False
57,47.0,rxjava2-extras,FlowableRepeatingTransform,com.github.davidmoten.rx2.internal.flowable.flowablerepeatingtransformtest.testempty,True,False,True
66,47.0,rxjava2-extras,FlowableStateMachine,com.github.davidmoten.rx2.internal.flowable.flowablestatemachinetest.testasync,False,False,True
81,47.0,rxjava2-extras,RetryWhen,com.github.davidmoten.rx2.retrywhentest.testretrywhenspecificexceptionfailsbecauseisnotinstanceof,False,True,False
88,47.0,rxjava2-extras,Strings,com.github.davidmoten.rx2.stringstest.testmalformedinthemiddlereplace,False,False,True
7,47.0,rxjava2-extras,FlowableOnBackpressureBufferToFile,com.github.davidmoten.rx2.buffertofile.flowableonbackpressurebuffertofiletest.testfragmentsasync,True,True,False
18,47.0,rxjava2-extras,Consumers,com.github.davidmoten.rx2.consumerstest.testisutilityclass,True,False,False
25,47.0,rxjava2-extras,DelimitedStringLinkedList,com.github.davidmoten.rx2.internal.flowable.delimitedstringlinkedlisttest.testfindsfirstlongdelimiter,False,False,True
29,47.0,rxjava2-extras,FlowableCollectWhile,com.github.davidmoten.rx2.internal.flowable.flowablecollectwhiletest.testaddthrows,False,False,False
39,47.0,rxjava2-extras,FlowableMatch,com.github.davidmoten.rx2.internal.flowable.flowablematchtest.testerror,False,False,False
47,47.0,rxjava2-extras,FlowableMaxRequest,com.github.davidmoten.rx2.internal.flowable.flowablemaxrequesttest.checkmaxrequestthreedownstreamrequestmaxvalue,False,False,True
76,47.0,rxjava2-extras,FlowableWindowMinMax,com.github.davidmoten.rx2.internal.flowable.flowablewindowminmaxtest.testwindowsizezerothrowsiae,False,False,False
82,47.0,rxjava2-extras,SchedulerHelper,com.github.davidmoten.rx2.schedulerhelpertest.testisutilityclass,True,False,False
85,47.0,rxjava2-extras,Strings,com.github.davidmoten.rx2.stringstest.testconcat,False,False,True
14,47.0,rxjava2-extras,Bytes,com.github.davidmoten.rx2.bytestest.testcollect,True,False,True
26,47.0,rxjava2-extras,DelimitedStringLinkedList,com.github.davidmoten.rx2.internal.flowable.delimitedstringlinkedlisttest.testfindsoneacrossthree,False,False,False
32,47.0,rxjava2-extras,FlowableCollectWhile,com.github.davidmoten.rx2.internal.flowable.flowablecollectwhiletest.testrequestwhileprocessingonnext,False,False,False
41,47.0,rxjava2-extras,FlowableMatch,com.github.davidmoten.rx2.internal.flowable.flowablematchtest.testnomatchexistsforatleastonesecondlonger,False,False,False
58,47.0,rxjava2-extras,FlowableRepeatingTransform,com.github.davidmoten.rx2.internal.flowable.flowablerepeatingtransformtest.testerrorpostchaining,False,False,True
60,47.0,rxjava2-extras,FlowableRepeatingTransform,com.github.davidmoten.rx2.internal.flowable.flowablerepeatingtransformtest.testoneasync,True,False,True
62,47.0,rxjava2-extras,FlowableReverse,com.github.davidmoten.rx2.internal.flowable.flowablereversetest.testisutilityclass,False,False,True
70,47.0,rxjava2-extras,FlowableStateMachine,com.github.davidmoten.rx2.internal.flowable.flowablestatemachinetest.testonnextthrowswithburstsourcethatterminateswitherror,False,True,True
73,47.0,rxjava2-extras,FlowableStringInputStream,com.github.davidmoten.rx2.internal.flowable.flowablestringinputstreamtest.simple,True,False,True
1,47.0,rxjava2-extras,Actions,com.github.davidmoten.rx2.actionstest.testsettotrue,True,False,True
21,47.0,rxjava2-extras,Functions,com.github.davidmoten.rx2.functionstest.testisutilityclass,True,False,True
24,47.0,rxjava2-extras,DelimitedStringLinkedList,com.github.davidmoten.rx2.internal.flowable.delimitedstringlinkedlisttest.testfindsfirst,False,False,False
28,47.0,rxjava2-extras,DelimitedStringLinkedList,com.github.davidmoten.rx2.internal.flowable.delimitedstringlinkedlisttest.testnotemptynotfound,False,False,False
48,47.0,rxjava2-extras,FlowableMaxRequest,com.github.davidmoten.rx2.internal.flowable.flowablemaxrequesttest.checkmaxrequesttwodownstreamrequestmaxvalue,False,False,False
52,47.0,rxjava2-extras,FlowableMinRequest,com.github.davidmoten.rx2.internal.flowable.flowableminrequesttest.testrebatchrequestsminequalsmaxdontconstrainfirstusesrxjavacorerebatchrequests,False,False,False
67,47.0,rxjava2-extras,FlowableStateMachine,com.github.davidmoten.rx2.internal.flowable.flowablestatemachinetest.testcancelfromtransition,False,False,True
72,47.0,rxjava2-extras,FlowableStringInputStream,com.github.davidmoten.rx2.internal.flowable.flowablestringinputstreamtest.assertisutilityclass,True,False,True
84,47.0,rxjava2-extras,SchedulerHelper,com.github.davidmoten.rx2.schedulerhelpertest.testwithid,False,True,False
5,47.0,rxjava2-extras,FlowableOnBackpressureBufferToFile,com.github.davidmoten.rx2.buffertofile.flowableonbackpressurebuffertofiletest.testclosequeue,True,False,True
6,47.0,rxjava2-extras,FlowableOnBackpressureBufferToFile,com.github.davidmoten.rx2.buffertofile.flowableonbackpressurebuffertofiletest.testerror,False,False,False
