,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,4.0,9.0,1.0,0.0,0.0,0.6428571428571429,0.2857142857142857,0.0,-0.17541160386140586,0.038461538461538464
1,1.0,7.0,6.0,0.0,0.125,1.0,0.5,0.5714285714285714,0.2222222222222222,0.24019223070763068,0.0625
2,1.0,7.0,6.0,0.0,0.125,1.0,0.5,0.5714285714285714,0.2222222222222222,0.24019223070763068,0.25
3,1.0,4.0,9.0,0.0,0.2,1.0,0.7142857142857143,0.35714285714285715,0.33333333333333337,0.3721042037676254,0.1
4,1.0,11.0,2.0,0.0,0.08333333333333333,1.0,0.21428571428571427,0.8571428571428571,0.15384615384615385,0.11322770341445956,0.125
5,1.0,4.0,9.0,0.0,0.2,1.0,0.7142857142857143,0.35714285714285715,0.33333333333333337,0.3721042037676254,0.1
6,0.0,5.0,8.0,1.0,0.0,0.0,0.5714285714285714,0.35714285714285715,0.0,-0.20672455764868078,0.038461538461538464
7,1.0,6.0,6.0,1.0,0.14285714285714285,0.5,0.5,0.5,0.22222222222222224,0.0,0.12777777777777777
8,0.0,7.0,5.0,2.0,0.0,0.0,0.35714285714285715,0.5,0.0,-0.40824829046386296,0.08712121212121213
9,1.0,8.0,4.0,1.0,0.1111111111111111,0.5,0.35714285714285715,0.6428571428571429,0.1818181818181818,-0.12171612389003691,0.1477272727272727
10,7.0,63.0,64.0,6.0,0.09873015873015874,0.6,0.5071428571428571,0.5,0.1668997668997669,0.042571999650098516,0.10770493395493394
