,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,43.0,112.0,47.0,36.0,0.27741935483870966,0.5443037974683544,0.37815126050420167,0.6512605042016807,0.36752136752136755,-0.158195843147068,0.29218833964744817
1,44.0,106.0,53.0,35.0,0.29333333333333333,0.5569620253164557,0.40756302521008403,0.6302521008403361,0.3842794759825327,-0.10701635239694811,0.34611867782552114
2,45.0,90.0,69.0,33.0,0.3333333333333333,0.5769230769230769,0.4810126582278481,0.569620253164557,0.4225352112676057,0.010330490314474628,0.3299350795819866
3,47.0,102.0,57.0,31.0,0.31543624161073824,0.6025641025641025,0.4388185654008439,0.6286919831223629,0.4140969162995594,-0.03787623452311212,0.33023117015048886
4,50.0,107.0,52.0,28.0,0.3184713375796178,0.6410256410256411,0.43037974683544306,0.6624472573839663,0.42553191489361697,-0.03172886250545844,0.3040661288012369
5,44.0,106.0,53.0,34.0,0.29333333333333333,0.5641025641025641,0.4092827004219409,0.6329113924050633,0.38596491228070173,-0.09998526269242605,0.280638743320723
6,44.0,112.0,47.0,34.0,0.28205128205128205,0.5641025641025641,0.38396624472573837,0.6582278481012658,0.37606837606837606,-0.1389948074245238,0.26676489889304134
7,46.0,113.0,46.0,32.0,0.2893081761006289,0.5897435897435898,0.3881856540084388,0.6708860759493671,0.3881856540084388,-0.12094823415578132,0.3714749912527577
8,47.0,102.0,57.0,31.0,0.31543624161073824,0.6025641025641025,0.4388185654008439,0.6286919831223629,0.4140969162995594,-0.03787623452311212,0.35939308886731614
9,54.0,108.0,51.0,24.0,0.3333333333333333,0.6923076923076923,0.4430379746835443,0.6835443037974683,0.45,0.01319717610643751,0.3791906053546424
10,464.0,1058.0,532.0,318.0,0.30514559671250485,0.5934599156118143,0.41992163954189266,0.641653370208843,0.40282807446217583,-0.07090941649475177,0.3260001723695162
