,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,47.0,46.0,113.0,32.0,0.5053763440860215,0.5949367088607594,0.6722689075630253,0.3907563025210084,0.5465116279069767,0.29497182073717765,0.47071504851872886
1,42.0,59.0,100.0,37.0,0.4158415841584158,0.5316455696202531,0.5966386554621849,0.42436974789915966,0.4666666666666667,0.1529934436109179,0.41224667589760916
2,45.0,73.0,86.0,33.0,0.3813559322033898,0.5769230769230769,0.5527426160337553,0.4978902953586498,0.4591836734693877,0.11071076917345546,0.3926619150140447
3,38.0,60.0,99.0,40.0,0.3877551020408163,0.48717948717948717,0.5780590717299579,0.41350210970464135,0.43181818181818177,0.10478782016529048,0.39975467028326084
4,36.0,61.0,98.0,42.0,0.3711340206185567,0.46153846153846156,0.5654008438818565,0.4092827004219409,0.4114285714285714,0.07443571732271208,0.383530480505618
5,39.0,54.0,105.0,39.0,0.41935483870967744,0.5,0.6075949367088608,0.3924050632911392,0.45614035087719296,0.15433563007711623,0.40113566297440795
6,37.0,67.0,92.0,41.0,0.3557692307692308,0.47435897435897434,0.5443037974683544,0.4388185654008439,0.4065934065934066,0.05016225088046278,0.3647334800602266
7,34.0,57.0,102.0,44.0,0.37362637362637363,0.4358974358974359,0.5738396624472574,0.38396624472573837,0.4023668639053255,0.07478736733908588,0.38198214902172983
8,41.0,70.0,89.0,37.0,0.36936936936936937,0.5256410256410257,0.5485232067510548,0.46835443037974683,0.4338624338624339,0.08040875441344993,0.41477703854418924
9,43.0,69.0,90.0,35.0,0.38392857142857145,0.5512820512820513,0.5611814345991561,0.47257383966244726,0.4526315789473685,0.11042136512849378,0.4038704062666186
10,402.0,616.0,974.0,380.0,0.3963511367010423,0.5139402791301524,0.5800553132645463,0.4291919299365315,0.4467203355475512,0.12080149388481623,0.40254075270864337
