,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,38.0,2.0,0.0,0.0,0.95,0.0,0.0,0.0,0.08310276679841898
1,0.0,0.0,39.0,1.0,0.0,0.0,0.975,0.0,0.0,0.0,0.022727272727272728
2,0.0,0.0,39.0,1.0,0.0,0.0,0.975,0.0,0.0,0.0,1.0
3,0.0,0.0,39.0,1.0,0.0,0.0,0.975,0.0,0.0,0.0,0.1
4,0.0,0.0,39.0,1.0,0.0,0.0,0.975,0.0,0.0,0.0,0.05555555555555555
5,0.0,0.0,38.0,1.0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.03571428571428571
6,0.0,0.0,38.0,1.0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.0625
7,0.0,0.0,38.0,1.0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.25
8,0.0,0.0,38.0,1.0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.125
9,0.0,0.0,38.0,1.0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.021739130434782608
10,0.0,0.0,384.0,11.0,0.0,0.0,0.9721794871794872,0.0,0.0,0.0,0.1756339011230316
