,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,7.0,12.0,0.0,0.125,1.0,0.65,0.4,0.2222222222222222,0.2809757434745082,0.16666666666666666
1,0.0,5.0,13.0,2.0,0.0,0.0,0.65,0.25,0.0,-0.19245008972987526,0.0671474358974359
2,1.0,8.0,10.0,1.0,0.1111111111111111,0.5,0.55,0.45,0.1818181818181818,0.0335012605086404,0.10494505494505495
3,0.0,8.0,10.0,2.0,0.0,0.0,0.5,0.4,0.0,-0.2721655269759087,0.05286377708978328
4,2.0,5.0,13.0,0.0,0.2857142857142857,1.0,0.75,0.35,0.4444444444444445,0.45425676257949793,0.29166666666666663
5,0.0,7.0,11.0,2.0,0.0,0.0,0.55,0.35,0.0,-0.24459979523511427,0.0714546783625731
6,0.0,6.0,12.0,2.0,0.0,0.0,0.6,0.3,0.0,-0.21821789023599236,0.08244047619047619
7,2.0,1.0,17.0,0.0,0.6666666666666666,1.0,0.95,0.15,0.8,0.7934920476158722,0.41666666666666663
8,1.0,10.0,8.0,1.0,0.09090909090909091,0.5,0.45,0.55,0.15384615384615385,-0.0335012605086404,0.10119047619047619
9,1.0,5.0,13.0,1.0,0.16666666666666666,0.5,0.7,0.3,0.25,0.14547859349066158,0.5511904761904762
10,8.0,62.0,119.0,11.0,0.1446067821067821,0.45,0.635,0.35,0.2052331002331002,0.07467698449836493,0.1906232374866276
