,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,8.0,6.0,2.0,0.0,0.0,0.375,0.5,0.0,-0.3779644730092272,0.0625
1,2.0,10.0,4.0,0.0,0.16666666666666666,1.0,0.375,0.75,0.2857142857142857,0.2182178902359924,0.5909090909090909
2,1.0,5.0,9.0,1.0,0.16666666666666666,0.5,0.625,0.375,0.25,0.09759000729485333,0.19791666666666666
3,0.0,13.0,1.0,1.0,0.0,0.0,0.06666666666666667,0.8666666666666667,0.0,-0.6813851438692469,0.03571428571428571
4,1.0,14.0,0.0,0.0,0.06666666666666667,1.0,0.06666666666666667,1.0,0.125,0.0,0.5454545454545454
5,1.0,13.0,1.0,0.0,0.07142857142857142,1.0,0.13333333333333333,0.9333333333333333,0.13333333333333333,0.07142857142857142,0.041666666666666664
6,2.0,9.0,4.0,0.0,0.18181818181818182,1.0,0.4,0.7333333333333333,0.3076923076923077,0.23652495839563303,0.35555555555555557
7,0.0,12.0,1.0,2.0,0.0,0.0,0.06666666666666667,0.8,0.0,-0.7844645405527361,0.06904761904761905
8,2.0,11.0,2.0,0.0,0.15384615384615385,1.0,0.26666666666666666,0.8666666666666667,0.2666666666666667,0.15384615384615385,0.338966588966589
9,1.0,9.0,4.0,1.0,0.1,0.5,0.3333333333333333,0.6666666666666666,0.16666666666666669,-0.1386750490563073,0.3416666666666667
10,10.0,104.0,32.0,7.0,0.09070929070929071,0.6,0.27083333333333337,0.7491666666666668,0.15350732600732603,-0.12048816252863134,0.2579397685647686
